Key,File,Type,UsedInMainMenu,NoTranslate,english
buffElementWetTooltip,buffs,Buff,,,Your taint is soggy!,,Du bist nass.,Estás mojado.,Vous êtes mouillé.,Ti stai bagnando.,体が濡れています。,젖었습니다.,Masz mokre ubranie.,Você se molhou.,Вы промокли.,Islandın.,你身上湿了。,你渾身濕透了。,Estás mojado.
perkAdvancedEngineeringRank5LongDesc,progression,perk Int,,,"Learn to craft solar banks and cells. Also learn to craft SMG auto turrets for the best ranged base defense, and crucibles to forge steel in forges. Gain 50% XP from Electrical Trap Kills.\nAll forge recipes cost 20% less, crafting Forged Steel and electrical devices costs 35% less.",,"Lerne automatische Maschinenpistolengeschütztürme für die beste Fernkampfverteidigung zu fertigen sowie Schmelztiegel für das Schmieden von Stahl in Schmieden. Erhalte 50 % EP für Kills mit elektrischen Fallen.\nAlle Rezepte für die Schmiede kosten 20 % weniger, das Fertigen von geschmiedetem Stahl und elektrischen Geräten kostet 35 % weniger.","Aprende a construir torretas automáticas con metralleta para la mejor defensa de la base a distancia, y crisoles para forjar acero en las fraguas. Obtén un 50 % de EXP de las muertes por trampas eléctricas.\nTodas las recetas de fragua cuestan un 20 % menos, la elaboración de acero forjado y los dispositivos eléctricos cuestan un 35 % menos.","Vous apprenez à fabriquer des tourelles à mitraillette automatiques pour défendre au mieux votre base à longue distance, ainsi que des creusets pour forger de l'acier. Les victimes dues aux pièges électriques vous rapportent 50 % d'EXP.\nToutes les compositions de forge coûtent 20 % moins cher. L'acier forgé et les appareils électriques coûtent 35 % moins cher.","Costruisci torrette automatiche SMG per migliorare la difesa della base con armi a distanza e crogioli per forgiare acciaio nelle fucine. Guadagni il 50% di PE dalle uccisioni con trappole elettrificate.\nTutte le ricette della fucina costano il 20% in meno, la fabbricazione di lingotti d'acciaio e dispositivi elettrici costa il 35% in meno.",最高の遠距離基地防衛になるSMG自動砲塔をクラフトし、炉で鋼を鍛えるるつぼをクラフトできます。電気トラップでキルすると50%の経験値を獲得。\n全ての鍛造レシピが20%安くなり、 鍛鋼と電気デバイスのクラフトコストが35%下がります。,"최적 거리의 기지 방어를 위한 SMG 자동 터렛, 대장간에서 철을 연마하기 위한 도가니 제작 방법을 배웁니다. 전기 트랩 스킬로 50%의 XP를 얻습니다.\n연마된 철을 제작하는 대장간 레시피의 비용은 20% 감소하고, 전기 기기 제작 비용은 35% 감소합니다.","Dowiedz się, jak wytwarzać wieżyczki automatyczne z pistoletami maszynowymi zapewniające najlepszą ochronę dystansową bazy oraz tygle, dzięki którym w kuźni wykujesz stal. Zdobywaj 50% PD za wrogów zabitych przez pułapki elektryczne.\nWytwarzanie przepisów w kuźni kosztuje 20% mniej, a wytwarzanie kutej stali i urządzeń elektrycznych — 35% mniej.","Aprenda a fabricar submetralhadoras e torretas automáticas, para obter uma melhor defesa de longo alcance da base, e cadinhos para forjar aço nas forjas. Ganhe 50% de EXP com abates de armadilhas elétricas.\nTodas as receitas da forja custam 20% menos recursos e a fabricação de aço fundido e de dispositivos elétricos custam 35% menos recursos.","Научитесь создавать автоматические пушки с ПП для обороны базы дальнобойным огнем и тигли для ковки стали в кузницах. За поражения от электроловушек вы получаете 50% опыта.\nВсе рецепты кузницы стоят на 20% меньше, изготовление кованой стали и электроприборов стоит на 35% меньше.","Demirci ocağında çelik dövmek için pota ve en iyi menzilli üs savunması için otomatik hafif makineli tüfek tareti üretmeyi öğren. Elektrikli tuzakla öldürmelerden %50 daha fazla DP kazan.\nTüm demirci ocağı tariflerinin maliyeti %20, Dövme Çelik ve elektrik cihaz üretme maliyeti %35 azalır.",学习制作冲锋枪自动炮塔，这是最好的远距基地防御设施，此外还有用来在锻造炉中锻造钢铁的坩埚。电力陷阱击杀给予50%经验值。\n所有锻造炉配方的成本减少20%，制作锻钢与电力装置的成本减少35%。,學習製作最佳射程基地防禦的衝鋒槍自動炮臺以及在鍛造爐鍛造鋼的坩堝。從電陷阱殺敵數獲得 50% 的經驗值。\n所有鍛造爐配方消耗不到 20%，製作鍛鋼和電氣裝置消耗不到 35%。,"Aprende a construir torretas automáticas con metralleta para la mejor defensa de la base a distancia, y crisoles para forjar acero en las fraguas. Obtén un 50 % de EXP de las muertes por trampas eléctricas.\nTodas las recetas de fragua cuestan un 20 % menos, la elaboración de acero forjado y los dispositivos eléctricos cuestan un 35 % menos."buffIsFreezingDesc,buffs,Buff,,,You are freezing.\n\nDrink a warm coffee to feel better.
buffIsFreezingName,buffs,Buff,,,Freezing
buffIsFreezingTooltip,buffs,Buff,,,You are freezing. Use coffee to warm yourself.
FreezingTip_title,Journal Tip,,,,Freezing
FreezingTip,Journal Tip,,,,"Some weapons, zombies, or parts of the environment can freeze you. To warm yourself you can drink a warm coffee."
ammoProjectileFireArrow,Items,Ammo,,,Flaming Arrow v2 (Ammo)
ammoProjectileFireArrowDesc,Items,Ammo,,,A flaming arrow that was recovered from a special zombie. Usable in the compound bow.
EntityLootContainerZombieclaus,entityclasses,Entity Info,,,Zombieclaus Loot
solarbankSchematic,blocks,Electricity,,,Solar Bank Schematic
